keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
610;Timburi;SP;3554607
611;Torre de Pedra;SP;3554656
612;Torrinha;SP;3554706
613;Trabiju;SP;3554755
614;Tremembé;SP;3554805
615;Três Fronteiras;SP;3554904
616;Tuiuti;SP;3554953
617;Tupã;SP;3555000
618;Tupi Paulista;SP;3555109
619;Turiúba;SP;3555208
620;Turmalina;SP;3555307
621;Ubarana;SP;3555356
622;Ubatuba;SP;3555406
623;Ubirajara;SP;3555505
624;Uchoa;SP;3555604
625;União Paulista;SP;3555703
626;Urânia;SP;3555802
627;Uru;SP;3555901
628;Urupês;SP;3556008
629;Valentim Gentil;SP;3556107
630;Valinhos;SP;3556206
631;Valparaíso;SP;3556305
632;Vargem;SP;3556354
633;Vargem Grande do Sul;SP;3556404
634;Vargem Grande Paulista;SP;3556453
635;Várzea Paulista;SP;3556503
636;Vera Cruz;SP;3556602
637;Vinhedo;SP;3556701
638;Viradouro;SP;3556800
639;Vista Alegre do Alto;SP;3556909
640;Vitória Brasil;SP;3556958
641;Votorantim;SP;3557006
642;Votuporanga;SP;3557105
643;Zacarias;SP;3557154
644;Chavantes;SP;3557204
645;Estiva Gerbi;SP;3557303
