keypib;valorpib;anopib;setorpib;nomecidadepib;ufpib;codigoibge
431;;2010;Indústria;PINDORAMA;SP;3538105
432;;2010;Indústria;PINHALZINHO;SP;3538204
433;2558636000;2010;Indústria;PIQUEROBI;SP;3538303
434;0;2010;Indústria;PIQUETE;SP;3538501
435;;2010;Indústria;PIRACAIA;SP;3538600
436;3998332000;2010;Indústria;PIRACICABA;SP;3538709
437;;2010;Indústria;PIRAJU;SP;3538808
438;;2010;Indústria;PIRAJUÍ;SP;3538907
439;;2010;Indústria;PIRANGI;SP;3539004
440;0;2010;Indústria;PIRAPORA DO BOM JESUS;SP;3539103
441;;2010;Indústria;PIRAPOZINHO;SP;3539202
442;0;2010;Indústria;PIRASSUNUNGA;SP;3539301
443;9632505000;2010;Indústria;PIRATININGA;SP;3539400
444;208142000;2010;Indústria;PITANGUEIRAS;SP;3539509
445;;2010;Indústria;PLANALTO;SP;3539608
446;2643405000;2010;Indústria;PLATINA;SP;3539707
447;700875000;2010;Indústria;POÁ;SP;3539806
448;;2010;Indústria;POLONI;SP;3539905
449;286312000;2010;Indústria;POMPÉIA;SP;3540002
450;2732398000;2010;Indústria;PONGAÍ;SP;3540101
451;0;2010;Indústria;PONTAL;SP;3540200
452;2929903000;2010;Indústria;PONTALINDA;SP;3540259
453;0;2010;Indústria;PONTES GESTAL;SP;3540309
454;3510418000;2010;Indústria;POPULINA;SP;3540408
455;;2010;Indústria;PORANGABA;SP;3540507
456;;2010;Indústria;PORTO FELIZ;SP;3540606
457;;2010;Indústria;PORTO FERREIRA;SP;3540705
458;0;2010;Indústria;POTIM;SP;3540754
459;;2010;Indústria;POTIRENDABA;SP;3540804
460;0;2010;Indústria;PRACINHA;SP;3540853
461;;2010;Indústria;PRADÓPOLIS;SP;3540903
462;0;2010;Indústria;PRAIA GRANDE;SP;3541000
463;5013026000;2010;Indústria;PRATÂNIA;SP;3541059
464;;2010;Indústria;PRESIDENTE ALVES;SP;3541109
465;8538552000;2010;Indústria;PRESIDENTE BERNARDES;SP;3541208
466;;2010;Indústria;PRESIDENTE EPITÁCIO;SP;3541307
467;0;2010;Indústria;PRESIDENTE PRUDENTE;SP;3541406
468;;2010;Indústria;PRESIDENTE VENCESLAU;SP;3541505
469;688664000;2010;Indústria;PROMISSÃO;SP;3541604
